name,wormbase_id
aex-2,WBGene00000085
cfz-2,WBGene00000478
dop-1,WBGene00001052
dop-2,WBGene00001053
egl-6,WBGene00001175
egl-47,WBGene00001211
fmi-1,WBGene00001475
gar-1,WBGene00001517
gar-2,WBGene00001518
gar-3,WBGene00001519
lite-1,WBGene00001803
lat-1,WBGene00002251
lat-2,WBGene00002252
mgl-1,WBGene00003232
mgl-2,WBGene00003233
npr-1,WBGene00003807
npr-2,WBGene00003808
odr-10,WBGene00003856
srlf-35,WBGene00004144
srlf-36,WBGene00004176
srlf-37,WBGene00004177
ser-1,WBGene00004776
ser-2,WBGene00004777
ser-3,WBGene00004778
ser-4,WBGene00004779
ser-7,WBGene00004780
sra-1,WBGene00005027
sra-2,WBGene00005028
sra-3,WBGene00005029
sra-4,WBGene00005030
sra-5,WBGene00005031
sra-6,WBGene00005032
sra-7,WBGene00005033
sra-8,WBGene00005034
sra-9,WBGene00005035
sra-10,WBGene00005036
sra-11,WBGene00005037
sra-12,WBGene00005038
sra-13,WBGene00005039
sra-14,WBGene00005040
sra-15,WBGene00005041
sra-16,WBGene00005042
sra-17,WBGene00005043
sra-18,WBGene00005044
sra-19,WBGene00005045
sra-20,WBGene00005046
sra-21,WBGene00005047
sra-22,WBGene00005048
sra-23,WBGene00005049
sra-24,WBGene00005050
sra-25,WBGene00005051
sra-26,WBGene00005052
sra-27,WBGene00005053
sra-28,WBGene00005054
sra-29,WBGene00005055
sra-30,WBGene00005056
sra-31,WBGene00005057
sra-32,WBGene00005058
sra-33,WBGene00005059
sra-34,WBGene00005060
sra-35,WBGene00005061
sra-36,WBGene00005062
sra-37,WBGene00005063
sra-38,WBGene00005064
sra-39,WBGene00005065
srb-1,WBGene00005066
srb-2,WBGene00005067
srb-3,WBGene00005068
srb-4,WBGene00005069
srb-5,WBGene00005070
srb-6,WBGene00005071
srb-7,WBGene00005072
srb-8,WBGene00005073
srb-9,WBGene00005074
srb-10,WBGene00005075
srb-11,WBGene00005076
src-1,WBGene00005077
src-2,WBGene00005078
srd-1,WBGene00005079
srd-2,WBGene00005080
srd-3,WBGene00005081
srd-4,WBGene00005082
srd-5,WBGene00005083
srd-6,WBGene00005084
srd-7,WBGene00005085
srd-8,WBGene00005086
srd-9,WBGene00005087
srd-10,WBGene00005088
srd-11,WBGene00005089
srd-12,WBGene00005090
srd-13,WBGene00005091
srd-14,WBGene00005092
srd-15,WBGene00005093
srd-16,WBGene00005094
srd-17,WBGene00005095
srd-18,WBGene00005096
srd-19,WBGene00005097
srd-20,WBGene00005098
srd-21,WBGene00005099
srd-22,WBGene00005100
srd-23,WBGene00005101
srd-24,WBGene00005102
srd-25,WBGene00005103
srd-26,WBGene00005104
srd-27,WBGene00005105
srd-28,WBGene00005106
srd-29,WBGene00005107
srd-30,WBGene00005108
srd-31,WBGene00005109
srd-32,WBGene00005110
srd-33,WBGene00005111
srd-34,WBGene00005112
srd-35,WBGene00005113
srd-36,WBGene00005114
srd-37,WBGene00005115
srd-38,WBGene00005116
srd-39,WBGene00005117
srd-40,WBGene00005118
srd-41,WBGene00005119
srd-42,WBGene00005120
srd-43,WBGene00005121
srd-44,WBGene00005122
srd-45,WBGene00005123
srd-46,WBGene00005124
srd-47,WBGene00005125
srd-48,WBGene00005126
srd-49,WBGene00005127
srd-50,WBGene00005128
srd-51,WBGene00005129
srd-52,WBGene00005130
srd-53,WBGene00005131
srd-54,WBGene00005132
srd-55,WBGene00005133
srd-56,WBGene00005134
srd-58,WBGene00005135
srd-59,WBGene00005136
srd-60,WBGene00005137
srd-61,WBGene00005138
srd-62,WBGene00005139
srd-63,WBGene00005140
srd-64,WBGene00005141
srd-65,WBGene00005142
srd-66,WBGene00005143
srd-67,WBGene00005144
srd-68,WBGene00005145
srd-69,WBGene00005146
srd-70,WBGene00005147
srd-71,WBGene00005148
sre-1,WBGene00005149
sre-2,WBGene00005150
srf-1,WBGene00005151
srf-2,WBGene00005152
srf-3,WBGene00005153
srf-4,WBGene00005154
srf-5,WBGene00005155
srf-6,WBGene00005156
srf-8,WBGene00005157
srf-9,WBGene00005158
srg-1,WBGene00005159
srg-2,WBGene00005160
srg-3,WBGene00005161
srg-4,WBGene00005162
srg-5,WBGene00005163
srg-6,WBGene00005164
srg-7,WBGene00005165
srg-8,WBGene00005166
srg-9,WBGene00005167
srg-10,WBGene00005168
srg-11,WBGene00005169
srg-13,WBGene00005170
srg-14,WBGene00005171
srg-15,WBGene00005172
srg-16,WBGene00005173
srg-17,WBGene00005174
srg-18,WBGene00005175
srg-19,WBGene00005176
srg-20,WBGene00005177
srg-21,WBGene00005178
srg-22,WBGene00005179
srg-23,WBGene00005180
srg-24,WBGene00005181
srg-25,WBGene00005182
srg-26,WBGene00005183
srg-27,WBGene00005184
srg-28,WBGene00005185
srg-29,WBGene00005186
srg-30,WBGene00005187
srg-31,WBGene00005188
srg-32,WBGene00005189
srg-33,WBGene00005190
srg-34,WBGene00005191
srg-35,WBGene00005192
srg-36,WBGene00005193
srg-37,WBGene00005194
srg-38,WBGene00005195
srg-39,WBGene00005196
srg-40,WBGene00005197
srg-41,WBGene00005198
srg-42,WBGene00005199
srg-43,WBGene00005200
srg-44,WBGene00005201
srg-45,WBGene00005202
srg-46,WBGene00005203
srg-47,WBGene00005204
srg-48,WBGene00005205
srg-49,WBGene00005206
srg-50,WBGene00005207
srg-51,WBGene00005208
srg-53,WBGene00005210
srg-54,WBGene00005211
srg-55,WBGene00005212
srg-56,WBGene00005213
srg-57,WBGene00005214
srg-58,WBGene00005215
srg-59,WBGene00005216
srg-60,WBGene00005217
srg-61,WBGene00005218
srg-62,WBGene00005219
srg-63,WBGene00005220
srg-64,WBGene00005221
srg-65,WBGene00005222
srg-66,WBGene00005223
srg-67,WBGene00005224
srg-68,WBGene00005225
srg-69,WBGene00005226
srh-1,WBGene00005227
srh-2,WBGene00005228
srh-3,WBGene00005229
srh-4,WBGene00005230
srh-5,WBGene00005231
srh-6,WBGene00005232
srh-7,WBGene00005233
srh-8,WBGene00005234
srh-9,WBGene00005235
srh-10,WBGene00005236
srh-11,WBGene00005237
srh-12,WBGene00005238
srh-13,WBGene00005239
srh-15,WBGene00005240
srh-16,WBGene00005241
srh-17,WBGene00005242
srh-18,WBGene00005243
srh-19,WBGene00005244
srh-20,WBGene00005245
srh-21,WBGene00005246
srh-22,WBGene00005247
srh-23,WBGene00005248
srh-25,WBGene00005249
srh-27,WBGene00005250
srh-28,WBGene00005251
srh-29,WBGene00005252
srh-30,WBGene00005253
srh-31,WBGene00005254
srh-32,WBGene00005255
srh-33,WBGene00005256
srh-34,WBGene00005257
srh-35,WBGene00005258
srh-36,WBGene00005259
srh-37,WBGene00005260
srh-38,WBGene00005261
srh-39,WBGene00005262
srh-40,WBGene00005263
srh-41,WBGene00005264
srh-42,WBGene00005265
srh-43,WBGene00005266
srh-44,WBGene00005267
srh-45,WBGene00005268
srh-46,WBGene00005269
srh-47,WBGene00005270
srh-48,WBGene00005271
srh-49,WBGene00005272
srh-50,WBGene00005273
srh-51,WBGene00005274
srh-52,WBGene00005275
srh-53,WBGene00005276
srh-54,WBGene00005277
srh-55,WBGene00005278
srh-56,WBGene00005279
srh-57,WBGene00005280
srh-59,WBGene00005281
srh-60,WBGene00005282
srh-61,WBGene00005283
srh-62,WBGene00005284
srh-63,WBGene00005285
srh-65,WBGene00005286
srh-66,WBGene00005287
srh-67,WBGene00005288
srh-68,WBGene00005289
srh-69,WBGene00005290
srh-70,WBGene00005291
srh-71,WBGene00005292
srh-72,WBGene00005293
srh-73,WBGene00005294
srh-74,WBGene00005295
srh-75,WBGene00005296
srh-76,WBGene00005297
srh-77,WBGene00005298
srh-78,WBGene00005299
srh-79,WBGene00005300
srh-80,WBGene00005301
srh-81,WBGene00005302
srh-82,WBGene00005303
srh-83,WBGene00005304
srh-84,WBGene00005305
srh-85,WBGene00005306
srh-86,WBGene00005307
srh-87,WBGene00005308
srh-88,WBGene00005309
srh-89,WBGene00005310
srh-90,WBGene00005311
srh-91,WBGene00005312
srh-92,WBGene00005313
srh-93,WBGene00005314
srh-95,WBGene00005315
srh-97,WBGene00005316
srh-98,WBGene00005317
srh-99,WBGene00005318
srh-100,WBGene00005319
srh-101,WBGene00005320
srh-102,WBGene00005321
srh-103,WBGene00005322
srh-104,WBGene00005323
srh-106,WBGene00005325
srh-107,WBGene00005326
srh-108,WBGene00005327
srh-109,WBGene00005328
srh-110,WBGene00005329
srh-111,WBGene00005330
srh-112,WBGene00005331
srh-113,WBGene00005332
srh-114,WBGene00005333
srh-115,WBGene00005334
srh-116,WBGene00005335
srh-117,WBGene00005336
srh-118,WBGene00005337
srh-119,WBGene00005338
srh-120,WBGene00005339
srh-122,WBGene00005340
srh-123,WBGene00005341
srh-125,WBGene00005342
srh-126,WBGene00005343
srh-127,WBGene00005344
srh-128,WBGene00005345
srh-129,WBGene00005346
srh-130,WBGene00005347
srh-131,WBGene00005348
srh-132,WBGene00005349
srh-133,WBGene00005350
srh-134,WBGene00005351
srh-135,WBGene00005352
srh-136,WBGene00005353
srh-137,WBGene00005354
srh-138,WBGene00005355
srh-139,WBGene00005356
srh-140,WBGene00005357
srh-141,WBGene00005358
srh-142,WBGene00005359
srh-144,WBGene00005360
srh-145,WBGene00005361
srh-146,WBGene00005362
srh-147,WBGene00005363
srh-148,WBGene00005364
srh-149,WBGene00005365
srh-150,WBGene00005366
srh-151,WBGene00005367
srh-152,WBGene00005368
srh-153,WBGene00005369
srh-154,WBGene00005370
srh-155,WBGene00005371
srh-156,WBGene00005372
srh-157,WBGene00005373
srh-158,WBGene00005374
srh-159,WBGene00005375
srh-160,WBGene00005376
srh-161,WBGene00005377
srh-162,WBGene00005378
srh-163,WBGene00005379
srh-164,WBGene00005380
srh-165,WBGene00005381
srh-166,WBGene00005382
srh-167,WBGene00005383
srh-168,WBGene00005384
srh-169,WBGene00005385
srh-170,WBGene00005386
