Your Input	WormBase Gene ID	Public Name	Species	Biotype	Sequence Name	Other Name	Expr_pattern Tissue	Genomic Study Tissue	Gene Ontology Association
WBGene00000001	WBGene00000001	aap-1	Caenorhabditis elegans	protein_coding_gene	Y110A7A.10	CELE_Y110A7A.10	anchor cell, body wall musculature, hypodermis, intestine, neuron	dopaminergic neuron, germ line, neuron, OLL, PVD, Q cell	"1-phosphatidylinositol-3-kinase regulator activity", "dauer larval development", "determination of adult lifespan", "insulin receptor signaling pathway", "kinase activity", "phosphatidylinositol 3-kinase complex", "phosphatidylinositol 3-kinase complex, class IA", "protein kinase binding"
WBGene00000002	WBGene00000002	aat-1	Caenorhabditis elegans	protein_coding_gene	F27C8.1	CELE_F27C8.1	excretory cell, excretory gland cell, gonadal sheath cell, head neuron, intestine, nerve ring, nervous system, Pharyngeal gland cell, pharyngeal neuron, pharynx, rectal gland cell, reproductive system, RIML, RIMR, RMDVL, RMDVR, tail, uterine muscle, uterine-vulval cell, ventral cord neuron, vulval muscle	arcade cell, CEPsoDL, DA neuron, e2, excretory cell, excretory gland cell, excretory secretory system, g1AL, g1AR, g1P, GABAergic neuron, head mesodermal cell, intestine, M cell, M2 neuron, m2L, mc1DL, mc1DR, mc1V, mc2, mc2DL, mc2DR, mc2V, mc3, neuron, pharyngeal epithelial cell, pm1, pm2, pm6, posterior arcade cell, RMH, sensory neuron, uv1, VA neuron	"amino acid transmembrane transport", "amino acid transport complex", "L-alpha-amino acid transmembrane transport", "L-amino acid transmembrane transporter activity", "membrane", "plasma membrane", "transmembrane transport", "transmembrane transporter activity"
WBGene00000003	WBGene00000003	aat-2	Caenorhabditis elegans	protein_coding_gene	F07C3.7	CELE_F07C3.7	N.A.	AFD, body wall muscle cell, GABAergic neuron, germ line, head mesodermal cell, HSNL, muscle cell, oocyte, RIH, sensory neuron	"amino acid transmembrane transport", "L-alpha-amino acid transmembrane transport", "L-amino acid transmembrane transporter activity", "membrane", "transmembrane transport", "transmembrane transporter activity"
WBGene00000004	WBGene00000004	aat-3	Caenorhabditis elegans	protein_coding_gene	F52H2.2	CELE_F52H2.2	N.A.	ABalaappppa, ABalapaappa, ABalapapapa, ABalapappaa, ABalapppapa, ABalappppaa, ABalppapppa, ABalppppapa, ABalppppppp, ABarapppppa, ABplaapaap, ABplpaaappa, ABplpaapap, ABpraaapapa, ABpraaapppp, ABpraapaap, ABprpaaappa, ABprpaapap, ADE sheath cell, ADE socket cell, AFD, AIZL, AIZR, amphid sheath cell, amphid socket cell, AVAL, AVAR, CEP socket cell, cephalic sheath cell, CEPshDL, CEPshDR, CEPshVL, CEPshVR, DD neuron, DD1, DD2, DD3, DD4, DD5, DD6, GABAergic neuron, germ line, head mesodermal cell, IL sheath cell, IL socket cell, neuron, OL sheath cell, OL socket cell, OLL, oocyte, PDE sheath cell, PDE socket cell, phasmid sheath cell, phasmid socket cell, PVD, PVR, sensory neuron, SIBDL, SIBDR, SIBVL, SIBVR, somatic gonad precursor, VC4, VC5, VD neuron, VD1, VD10, VD11, VD12, VD13, VD2, VD3, VD4, VD5, VD6, VD7, VD8, VD9	"amino acid transmembrane transport", "amino acid transport complex", "L-alpha-amino acid transmembrane transport", "L-amino acid transmembrane transporter activity", "membrane", "plasma membrane", "transmembrane transport", "transmembrane transporter activity"
WBGene00000005	WBGene00000005	aat-4	Caenorhabditis elegans	protein_coding_gene	T13A10.10	CELE_T13A10.10	N.A.	AVJ, AVJL, AVJR, gonadal sheath cell, intestine, spermathecal-uterine valve cell	"amino acid transmembrane transport", "L-alpha-amino acid transmembrane transport", "L-amino acid transmembrane transporter activity", "membrane", "transmembrane transport", "transmembrane transporter activity"
WBGene00000006	WBGene00000006	aat-5	Caenorhabditis elegans	protein_coding_gene	C55C2.5	CELE_C55C2.5	N.A.	AVE, AVK, DA neuron, DVA, head mesodermal cell, I5 neuron, intestine, lumbar ganglion, muscle cell, neuron, pharyngeal muscle cell, pm6, pm7, retrovesicular ganglion, RIAL, RIS, SAB, sensory neuron, VA neuron, VB2	"amino acid transmembrane transport", "L-alpha-amino acid transmembrane transport", "L-amino acid transmembrane transporter activity", "membrane", "transmembrane transport", "transmembrane transporter activity"
WBGene00000007	WBGene00000007	aat-6	Caenorhabditis elegans	protein_coding_gene	T11F9.4	CELE_T11F9.4	intestine	AFDL, AFDR, intestine, PVR	"amino acid transmembrane transport", "amino acid transport complex", "amino acid transport", "apical plasma membrane", "intracellular amino acid homeostasis", "L-alpha-amino acid transmembrane transport", "L-amino acid transmembrane transporter activity", "L-amino acid transport", "membrane", "PDZ domain binding", "plasma membrane", "protein binding", "transmembrane transport", "transmembrane transporter activity"
WBGene00000008	WBGene00000008	aat-7	Caenorhabditis elegans	protein_coding_gene	F54D12.3	F54D12.f, F54D12.f, CELE_F54D12.3	N.A.	intestine	"amino acid transmembrane transport", "L-alpha-amino acid transmembrane transport", "L-amino acid transmembrane transporter activity", "membrane", "transmembrane transport", "transmembrane transporter activity"
WBGene00000009	WBGene00000009	aat-8	Caenorhabditis elegans	protein_coding_gene	F28F9.4	CELE_F28F9.4	N.A.	ABplapppaa, ABplppaaaap, ABprapppaa, ABprppaaaap, DD1, DD2, DD3, DD4, DD5, DD6, MSpaapaa	"amino acid transmembrane transport", "L-alpha-amino acid transmembrane transport", "L-amino acid transmembrane transporter activity", "membrane", "transmembrane transport", "transmembrane transporter activity"
WBGene00000010	WBGene00000010	aat-9	Caenorhabditis elegans	protein_coding_gene	Y53H1C.1	CELE_Y53H1C.1	body wall musculature, neuron	germ line, germline precursor cell, intestine, oocyte, somatic gonad precursor	"amino acid transmembrane transport", "cell surface", "L-alpha-amino acid transmembrane transport", "L-amino acid transmembrane transporter activity", "membrane", "transmembrane transport", "transmembrane transporter activity"
